ID	gene
250325_k562_perturbseq_enhancers_dup_filtered_min3_1	250325_k562_perturbseq_enhancers_dup_filtered_min3_1
250325_k562_perturbseq_enhancers_dup_filtered_min3_2	250325_k562_perturbseq_enhancers_dup_filtered_min3_2
250325_k562_perturbseq_enhancers_dup_filtered_min3_3	250325_k562_perturbseq_enhancers_dup_filtered_min3_3
250325_k562_perturbseq_enhancers_dup_filtered_min3_4	250325_k562_perturbseq_enhancers_dup_filtered_min3_4
250325_k562_perturbseq_enhancers_dup_filtered_min3_5	250325_k562_perturbseq_enhancers_dup_filtered_min3_5
250325_k562_perturbseq_enhancers_dup_filtered_min3_6	250325_k562_perturbseq_enhancers_dup_filtered_min3_6
250325_k562_perturbseq_enhancers_dup_filtered_min3_7	250325_k562_perturbseq_enhancers_dup_filtered_min3_7
250325_k562_perturbseq_enhancers_dup_filtered_min3_8	250325_k562_perturbseq_enhancers_dup_filtered_min3_8
250325_k562_perturbseq_enhancers_dup_filtered_min3_9	250325_k562_perturbseq_enhancers_dup_filtered_min3_9
250325_k562_perturbseq_enhancers_dup_filtered_min3_10	250325_k562_perturbseq_enhancers_dup_filtered_min3_10
250325_k562_perturbseq_enhancers_dup_filtered_min3_11	250325_k562_perturbseq_enhancers_dup_filtered_min3_11
250325_k562_perturbseq_enhancers_dup_filtered_min3_12	250325_k562_perturbseq_enhancers_dup_filtered_min3_12
250325_k562_perturbseq_enhancers_dup_filtered_min3_13	250325_k562_perturbseq_enhancers_dup_filtered_min3_13
250325_k562_perturbseq_enhancers_dup_filtered_min3_14	250325_k562_perturbseq_enhancers_dup_filtered_min3_14
250325_k562_perturbseq_enhancers_dup_filtered_min3_15	250325_k562_perturbseq_enhancers_dup_filtered_min3_15
250325_k562_perturbseq_enhancers_dup_filtered_min3_16	250325_k562_perturbseq_enhancers_dup_filtered_min3_16
250325_k562_perturbseq_enhancers_dup_filtered_min3_17	250325_k562_perturbseq_enhancers_dup_filtered_min3_17
250325_k562_perturbseq_enhancers_dup_filtered_min3_18	250325_k562_perturbseq_enhancers_dup_filtered_min3_18
250325_k562_perturbseq_enhancers_dup_filtered_min3_19	250325_k562_perturbseq_enhancers_dup_filtered_min3_19
250325_k562_perturbseq_enhancers_dup_filtered_min3_20	250325_k562_perturbseq_enhancers_dup_filtered_min3_20
250325_k562_perturbseq_enhancers_dup_filtered_min3_21	250325_k562_perturbseq_enhancers_dup_filtered_min3_21
250325_k562_perturbseq_enhancers_dup_filtered_min3_22	250325_k562_perturbseq_enhancers_dup_filtered_min3_22
250325_k562_perturbseq_enhancers_dup_filtered_min3_23	250325_k562_perturbseq_enhancers_dup_filtered_min3_23
